textId,text
category.electronics,Electrónica
category.documents,Documentos
category.accessories,Accesorios
category.misc,Miscelánea

# Chat Assistant
chat.title,Asistente de equipaje
chat.subtitle,Pregúntame sobre tu lista
chat.welcome,¡Hola! Estoy aquí para ayudarte a optimizar tu lista de equipaje. Puedes preguntarme sobre artículos específicos o pedir sugerencias.
chat.input.placeholder,Pregúntame sobre la lista...
chat.loading,Pensando...
chat.error.title,Error del chat
chat.error.message,No se pudo obtener una respuesta. Por favor, inténtalo de nuevo.
chat.button,💬 Asistente
